Pulsed/ Streaming,FTSE Index ,FTSE Index Code,Base Currency,PDG,FTSE Index Family,Bloomberg Ticker- Total Return,Bloomberg Codes,Bloomberg Ticker- Price Return,RIC Total Return Codes,FTSE- Declared or Net,RIC Codes,RIC Codes - Price Return
P,FTSE/JSE Shariah All-Share Index,J143,ZAR,PDG2,FTSE/JSE Africa Index Series,-,J143 Index ,J143 Index ,-,-,.FTJ143,.FTJ143
P,FTSE/JSE Shariah Top 40 Index,J140,ZAR,PDG2,FTSE/JSE Africa Index Series,-,JSH40 Index,JSH40 Index,-,-,.FTJ140,.FTJ141
P,FTSE/JSE Small Cap Index,J202,ZAR,PDG2,FTSE/JSE Africa Index Series,-,JSMLC Index,JSMLC Index,-,-,.FTJ202,.FTJ202
P,FTSE/JSE SRI Index,J100,ZAR,PDG2,FTSE/JSE Africa Index Series,JSOCI ,JSOCI Index,JSOCI Index,-,-,.FTJ100,.FTJ100
P,FTSE/JSE SRI SWIX Index,J101,ZAR,PDG2,FTSE/JSE Africa Index Series,-,JSWIX Index,JSWIX Index,-,-,-,-
S,FTSE/JSE Top 40 Expiry Index,J20X,ZAR,PDG102,FTSE/JSE Africa Index Series,-,-,-,.TRIJ20X,-,.FTJ20X,.FTJ20X
S,FTSE/JSE Top 40 Index,J200,ZAR,PDG102,FTSE/JSE Africa Index Series,-,TOP40 Index,TOP40 Index,-,-,.FTJ200,.FTJ200
P,FTSE/JSE Top 40 Index - USD,J20U,USD,PDG2,FTSE/JSE Africa Index Series,TJ200U,J20U Index,J20U Index,-,-,.FTJ20USD,.FTJ20USD
S,FTSE/JSE Top 40 Index Net TRI,JN00,ZAR,PDG102,FTSE/JSE Africa Index Series,-,TJN00,TJN00 Index,-,-,.FTJN00,-
S,FTSE/JSE Top 40 Index- USD Net TRI,JN0U,USD,PDG102,FTSE/JSE Africa Index Series,-,TJN0U,TJN0U Index,-,-,.FTJN0U,-
P,FTSE/JSE Transport Index,J277,ZAR,PDG2,FTSE/JSE Africa Index Series,-,JTRNS Index ,JTRNS Index ,-,-,.FTJ277,.FTJ277
P,FTSE/JSE Venture Capital Index,J231,ZAR,PDG2,FTSE/JSE Africa Index Series,-,JVENC Index ,JVENC Index ,-,-,.FTJ231,.FTJ231
S,STI,STI,SGD,PDG124,FTSE ST Index Series,TSTIS,FSSTI Index,FSSTI Index,.TRISTI,-,.STI,.STI
S,FTSE/JSE Capped Shareholder Weighted Top 40 Net Tax Index,JN430,ZAR,PDG102,FTSE/JSE Africa Index Series,-,-,-,.TRIJN430,-,-,-
S,FTSE/JSE Capped Shareholder Weighted All Share Net Tax Index,JN433,ZAR,PDG102,FTSE/JSE Africa Index Series,-,-,-,.TRIJN433,-,-,-
P,FTSE ST All-Share Consumer Staples Index,FSTAS45,SGD,PDG24,FTSE ST Index Series,-,-,FSTCG,-,-,-,.FTFSTAS45
P,FTSE ST All-Share Industrials Index,FSTAS50,SGD,PDG24,FTSE ST Index Series,-,-,FSTIN,-,-,-,.FTFSTAS50
P,FTSE ST All-Share Technology Index,FSTAS10,SGD,PDG24,FTSE ST Index Series,-,-,FSTTG,-,-,-,.FTFSTAS10
P,FTSE ST All-Share Telecommunications Index,FSTAS15,SGD,PDG24,FTSE ST Index Series,-,-,FSTTC,-,-,-,.FTFSTAS15
P,FTSE ST All-Share Health Care Index,FSTAS20,SGD,PDG24,FTSE ST Index Series,-,-,FSTHC,-,-,-,.FTFSTAS20
P,FTSE ST All-Share Financials Index,FSTAS30,SGD,PDG24,FTSE ST Index Series,-,-,FSTFN,-,-,-,.FTFSTAS30
