Pulsed/ Streaming,FTSE Index ,FTSE Code,Base Currency,PDG,Bloomberg Ticker- Total Return,Bloomberg Ticker- Net Return,Bloomberg Ticker- Price Return,RIC Code - Total Return,RIC Code - Net Return,RIC Codes - Price Return
P,FTSEurofirst 300 Utilities Index,E6510,EUR,PDG1,-,-,EFUTLOS,-,-,.FTE6510
P,FTSEurofirst 80 Index,EF80,EUR,PDG7,FTEF80TR,-,FTEF80 Index,-,-,.FTEF80R
S,JPMorgan Asset Management Carbon Transition US Equity Index,JPMIUCT,USD,PDG101,JPMIUCTR,-,-,-,.TRIJPMIUCT,.FTJPMIUCT
S,JUST US Large Cap Diversified Index,JULCD,USD,PDG101,-,-,-,.TRIJULCD,-,.FTJULCD
S,LibertyQ US Large Cap Equity Index,FLQL1,USD,PDG101,-,-,-,-,-,.FTFLQL1
S,LibertyQ US Mid Cap Equity Index,FLQM1,USD,PDG101,-,-,-,-,-,.FTFLQM1
S,LibertyQ US Small Cap Equity Index,FLQS1,USD,PDG101,-,-,-,-,-,.FTFLQS1
S,Pacer Emerging Markets Cash Cows 100 Index,ECOW,USD,PDG101,-,-,-,.TRIECOW,-,.FTECOW
S,Pacer Emerging Markets Cash Cows 100 Net Tax Index,ECOWN,USD,PDG101,-,-,-,-,.TRIECOWN,-
S,Pacer International Export Leaders Index,PIEXL,USD,PDG101,-,-,-,.TRIPIEXL,-,.FTPIEXL
S,Pacer International Export Leaders Net Tax Index,PIEXLN,USD,PDG101,-,-,-,-,.TRIPIEXLN,-
S,Renaissance International IPO Index  ,IPOXUS,USD,PDG101,-,-,IPOXUSR,-,-,.FTIPOXUS
S,Renaissance International IPO Net Index,IPOXUSN,USD,PDG101,-,IPOXUSN,-,-,.TRIIPOXUSN,-
S,Renaissance IPO Index,IPOUSA,USD,PDG101,-,-,IPOUSA,.TRIIPOUSA,-,.FTIPOUSA
S,FTSE Emerging inc Korea Net Tax Index,AWALLEKN,USD,PDG101,-,-,-,-,.TRIAWALLEKN,-
S,FTSE EPRA Nareit IdealRatings Developed REITs Islamic Green Index,FENGRRI,USD,PDG101,-,-,FENGRRI,.TRIFENGRRI,-,.FTFENGRRI
S,FTSE EPRA Nareit IdealRatings Developed REITs Islamic Green Net Tax Index ,FENGRRIN,USD,PDG101,-,-,-,-,.TRIFENGRRIN,-
S,FTSE Transatlantic Equal Weight Index,GPCSU29,EUR,PDG101,-,-,-,.TRIGPCSU29,-,.FTGPCSU29
S,FTSE Transatlantic Equal Weight Net Tax Index,GPCSU30,EUR,PDG101,-,-,-,-,.TRIGPCSU30,-
P,FTSE4Good Bursa Malaysia Shariah Index,F4GBMS,MYR,PDG16,-,-,F4GBMS,-,-,.FTF4GBMS
S,"FTSE 350 Gas, Water and Multi-utilities Index",NMX651020,GBP,PDG101,-,-,-,.TRINMX651020,-,.FTNMX651020
S,FTSE Frontier Large Mid Cap Vietnam Net Tax TWD Index,FILMNVTW,TWD,PDG101,-,-,-,-,.TRIFILMNVTW,-
S,FTSE Frontier Large Mid Cap Vietnam Net Tax VND Index,FILMNVVN,VND,PDG101,-,-,-,-,.TRIFILMNVVN,-
S,FTSE Taiwan 30/18 Capped Index,WITWNFC,USD,PDG101,-,-,-,.TRIWITWNFC,-,.FTWITWNFC
S,FTSE Taiwan 30/18 Capped Net Tax Index,WITWNFCN,USD,PDG101,-,-,-,-,.TRIWITWNFCN,-
S,FTSE EPRA Nareit IdealRatings Developed REITs Islamic Green Capped Index,FENGRIC,USD,PDG110,FENGRIC,-,-,.TRIFENGRIC,-,.FTFENGRIC
S,FTSE EPRA Nareit IdealRatings Developed REITs Islamic Green Capped Net Tax Index,FENGRICN,USD,PDG110,-,-,-,-,.TRIFENGRICN,-
S,FTSE Developed Core Infrastructure Net Index,FDCIITA,AUD,PDG101,-,RFDCIITA,-,-,.TRIFDCIITA,-
S,FTSE EPRA Nareit Developed ex Aus Rental Net TRI,RAUR,AUD,PDG110,-,RRAURA,-,-,.TRIRAUR,-
S,FTSE Developed Core Infrastructure 50/50 Net Tax Index,FDCICUN,USD,PDG101,-,FDCICUNR,-,-,.TRIFDCICUN,-
S,FTSE Kuwait All Cap 15% Capped Net Tax Index,ACKWTCN,USD,PDG101,-,FKUWLMCN,-,-,.TRIACKWTCN,-
S,FTSE Kuwait All Cap 15% Capped Index,ACKWTC,USD,PDG101,-,-,FKUWLMC,-,-,.FTACKWTC
P,FTSE ADX General Index,FADGI,AED,PDG4,-,-,ADSMI,-,-,.FTFADGI
