Pulsed/ Streaming,Index Name,Base Currency,PDG,Availability,RussellTick,Bloomberg Ticker,Refinitiv RIC,,,
S,Russell 1000 Food Producers Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBFOPT,-,.R1ICBFOPT,,,
S,"Russell 1000 Food, Beverage and Tobacco  Supersector Index",USD,PDG01RR,Real Time,R1ICBFBT,-,.R1ICBFBT,,,
S,"Russell 1000 Food, Beverage and Tobacco  Supersector Index - Total Return",USD,PDG01RR,Real Time,R1ICBFBTT,-,.R1ICBFBTT,,,
S,Russell 1000 General Industrials Sector Index,USD,PDG01RR,Real Time,R1ICBGEI,-,.R1ICBGEI,,,
S,Russell 1000 General Industrials Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBGEIT,-,.R1ICBGEIT,,,
S,Russell 1000 Health Care Industry Index,USD,PDG01RR,Real Time,R1ICBHC,-,.R1ICBHC,,,
S,Russell 1000 Health Care Providers Sector Index,USD,PDG01RR,Real Time,R1ICBHCP,-,.R1ICBHCP,,,
S,Russell 1000 Health Care Providers Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBHCPT,-,.R1ICBHCPT,,,
S,Russell 1000 Health Care RIC 22.5/45 Capped Index,USD,PDG01RR,Real Time,RIYHC,-,.RIYHC,,,
S,Russell 1000 Health Care RIC 22.5/45 Capped Total Return Index,USD,PDG01RR,Real Time,RIYHCT,RIYHC1,.RIYHCT,,,
S,Russell 1000 Health Care Supersector Index,USD,PDG01RR,Real Time,R1ICBHCR,-,.R1ICBHCR,,,
S,Russell 1000 Household Goods and Home Construction Sector Index,USD,PDG01RR,Real Time,R1ICBHGC,-,.R1ICBHGC,,,
S,Russell 1000 Household Goods and Home Construction Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBHGCT,-,.R1ICBHGCT,,,
S,Russell 1000 Industrial Engineering Sector Index,USD,PDG01RR,Real Time,R1ICBIDE,-,.R1ICBIDE,,,
S,Russell 1000 Industrial Engineering Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBIDET,-,.R1ICBIDET,,,
S,Russell 1000 Industrial Goods and Services Supersector Index,USD,PDG01RR,Real Time,R1ICBIGS,-,.R1ICBIGS,,,
S,Russell 1000 Industrial Materials Sector Index,USD,PDG01RR,Real Time,R1ICBIDM,-,.R1ICBIDM,,,
S,Russell 1000 Industrial Materials Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBIDMT,-,.R1ICBIDMT,,,
S,Russell 1000 Industrial Metals and Mining Sector Index,USD,PDG01RR,Real Time,R1ICBIMM,-,.R1ICBIMM,,,
S,Russell 1000 Industrial Metals and Mining Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBIMMT,-,.R1ICBIMMT,,,
S,Russell 1000 Industrial Support Services Sector Index,USD,PDG01RR,Real Time,R1ICBISS,-,.R1ICBISS,,,
S,Russell 1000 Industrial Support Services Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBISST,-,.R1ICBISST,,,
S,Russell 1000 Industrial Transportation Sector Index,USD,PDG01RR,Real Time,R1ICBIDT,-,.R1ICBIDT,,,
S,Russell 1000 Industrial Transportation Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBIDTT,-,.R1ICBIDTT,,,
S,Russell 1000 Industrials 40 Act 15/22.5 Daily Capped Index,USD,PDG01RR,Real Time,RIYJC,-,.RIYJC,,,
S,Russell 1000 Industrials 40 Act 15/22.5 Daily Capped Total Return Index,USD,PDG01RR,Real Time,RIYJCT,RIYJC1,.RIYJCT,,,
S,Russell 1000 Industrials Industry Index,USD,PDG01RR,Real Time,R1ICBIN,-,.R1ICBIN,,,
S,Russell 1000 Insurance Supersector Index,USD,PDG01RR,Real Time,R1ICBINS,-,.R1ICBINS,,,
