Pulsed/ Streaming,FTSE Index ,FTSE Code,Base Currency,PDG,Bloomberg Tickers,RIC Codes
S,FTSE Eurozone Highest Rated Macro-Weighted Government Bond 3-5Y (Mid Price) Index,EMTXmAAABMP,EUR,PDG01MTS,-,FMMPHRBR= 
S,FTSE Eurozone Highest Rated Macro-Weighted Government Bond 5-7Y (Mid Price) Index,EMTXmAAACMP,EUR,PDG01MTS,-,FMMPHRCR= 
S,FTSE Eurozone Highest Rated Macro-Weighted Government Bond (Mid Price) Index,EMTXmAAAGMP,EUR,PDG01MTS,-,FMMPHRGR= 
S,FTSE Eurozone High Yield Index All Maturity Realtime,EMTXy_HY_G,EUR,PDG01MTS,EAAAYR,EAAAYR= 
S,FTSE Eurozone Italy Ex-Bank of Italy Aggregate Index 1-3yr Realtime,xBOI_AGG_A,EUR,PDG01MTS,MTSIAGAR,MTSIAGAR= 
S,FTSE Eurozone FTSE Ex-Bank of Italy 1-3Y Index Mid,xBOI_AGG_A_MP,EUR,PDG01MTS,FMMPAGAR,-
S,FTSE Eurozone Italy Ex-Bank of Italy Aggregate Index 3-5yr Realtime,xBOI_AGG_B,EUR,PDG01MTS,MTSIAGBR,MTSIAGBR= 
S,FTSE Eurozone FTSE Ex-Bank of Italy 3-5Y Index Mid,xBOI_AGG_B_MP,EUR,PDG01MTS,FMMPAGBR,-
S,FTSE Eurozone Italy Ex-Bank of Italy Aggregate Index 5-7yr Realtime,xBOI_AGG_C,EUR,PDG01MTS,MTSIAGCR,MTSIAGCR= 
S,FTSE Eurozone Italy Ex-Bank of Italy Aggregate Index 7-10yr Realtime,xBOI_AGG_D,EUR,PDG01MTS,MTSIAGDR,MTSIAGDR= 
S,FTSE Eurozone Italy Ex-Bank of Italy Aggregate Index 10-15yr Realtime,xBOI_AGG_E,EUR,PDG01MTS,MTSIAGER,MTSIAGER= 
S,FTSE Eurozone Italy Ex-Bank of Italy Aggregate Index 15+yr Realtime,xBOI_AGG_F,EUR,PDG01MTS,MTSIAGFR,MTSIAGFR= 
S,FTSE Eurozone Italy Aggregate E,xBOI_AGG_G,EUR,PDG01MTS,MTSIAGGR,MTSIAGGR= 
S,FTSE Eurozone FTSE Ex-Bank of Italy Index Mid,xBOI_AGG_G_MP,EUR,PDG01MTS,FMMPAGGR,-
